Time	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
0	29.053442	29.355788	29.414134	29.213892	29.465356	29.340474	29.632557	29.493607	29.765747	29.538012	29.606912	29.568329
1	29.053442	29.355788	29.414134	29.213892	29.465356	29.340474	29.632557	29.493607	29.765747	29.538012	29.606912	29.568329
2	29.046825	29.351594	29.412697	29.204276	29.471269	29.34579	29.636172	29.483318	29.7712	29.555959	29.598677	29.572955
3	29.046825	29.351594	29.412697	29.204276	29.471269	29.34579	29.636172	29.483318	29.7712	29.555959	29.598677	29.572955
4	29.039591	29.332529	29.402132	29.213386	29.473797	29.343873	29.632499	29.495381	29.773038	29.553124	29.603191	29.577699
5	29.039591	29.332529	29.402132	29.213386	29.473797	29.343873	29.632499	29.495381	29.773038	29.553124	29.603191	29.577699
6	29.013182	29.32689	29.400628	29.20861	29.470455	29.351043	29.637426	29.495398	29.77452	29.555928	29.598876	29.574072
7	29.013182	29.32689	29.400628	29.20861	29.470455	29.351043	29.637426	29.495398	29.77452	29.555928	29.598876	29.574072
8	29.012715	29.312018	29.39104	29.208262	29.469367	29.352532	29.640931	29.485054	29.770676	29.545015	29.596231	29.570968
9	29.012715	29.312018	29.39104	29.208262	29.469367	29.352532	29.640931	29.485054	29.770676	29.545015	29.596231	29.570968
10	28.994925	29.294145	29.375466	29.20218	29.462292	29.342087	29.630642	29.477838	29.754418	29.532045	29.580276	29.564199
11	28.994925	29.294145	29.375466	29.20218	29.462292	29.342087	29.630642	29.477838	29.754418	29.532045	29.580276	29.564199
12	29.009448	29.293037	29.374587	29.198586	29.465318	29.351587	29.636653	29.467778	29.754458	29.525007	29.575076	29.564511
13	29.009448	29.293037	29.374587	29.198586	29.465318	29.351587	29.636653	29.467778	29.754458	29.525007	29.575076	29.564511
14	29.020959	29.288419	29.367672	29.19616	29.462998	29.352837	29.635252	29.488242	29.767753	29.526257	29.574028	29.621109
15	29.020959	29.288419	29.367672	29.19616	29.462998	29.352837	29.635252	29.488242	29.767753	29.526257	29.574028	29.621109
16	30.129261	29.319453	29.368382	29.199028	29.455898	29.344449	29.67615	29.479907	29.760656	29.527517	29.571843	30.012482
17	30.129261	29.319453	29.368382	29.199028	29.455898	29.344449	29.67615	29.479907	29.760656	29.527517	29.571843	30.012482
18	35.472914	29.848223	29.368466	29.186635	29.450699	29.33826	29.62617	29.480163	29.761428	29.519262	29.562211	29.628583
19	35.472914	29.848223	29.368466	29.186635	29.450699	29.33826	29.62617	29.480163	29.761428	29.519262	29.562211	29.628583
20	42.943301	31.462432	29.565012	29.230921	29.477046	29.364851	29.645164	29.490994	29.771005	29.531609	29.57961	29.126843
21	42.943301	31.462432	29.565012	29.230921	29.477046	29.364851	29.645164	29.490994	29.771005	29.531609	29.57961	29.126843
22	50.752677	34.064481	30.035484	29.290611	29.478869	29.359528	29.645839	29.481677	29.75308	29.510898	29.578192	29.630324
23	50.752677	34.064481	30.035484	29.290611	29.478869	29.359528	29.645839	29.481677	29.75308	29.510898	29.578192	29.630324
24	58.278424	37.382043	30.885654	29.453577	29.490096	29.336887	29.630653	29.486942	29.750066	29.509391	29.561987	29.561527
25	58.278424	37.382043	30.885654	29.453577	29.490096	29.336887	29.630653	29.486942	29.750066	29.509391	29.561987	29.561527
26	65.199579	41.154925	32.165717	29.798088	29.569999	29.347253	29.632926	29.477957	29.771857	29.517458	29.568216	29.568905
27	65.199579	41.154925	32.165717	29.798088	29.569999	29.347253	29.632926	29.477957	29.771857	29.517458	29.568216	29.568905
28	71.371905	44.446525	33.756615	30.306289	29.703711	29.387172	29.649974	29.490107	29.767318	29.529351	29.57873	29.573448
29	71.371905	44.446525	33.756615	30.306289	29.703711	29.387172	29.649974	29.490107	29.767318	29.529351	29.57873	29.573448
30	76.872756	48.393556	35.912906	30.999805	29.907717	29.434665	29.653756	29.492103	29.763293	29.528607	29.567881	29.584647
31	76.872756	48.393556	35.912906	30.999805	29.907717	29.434665	29.653756	29.492103	29.763293	29.528607	29.567881	29.584647
32	81.876017	52.259057	37.927377	31.844867	30.199227	29.513442	29.656249	29.481515	29.76877	29.512983	29.555243	29.584181
