Time	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
0	24.297488	24.367393	24.471268	24.7567	24.647072	24.872969	24.693909	24.915183	25.169584	25.096476	24.836022	24.745819
1	24.297488	24.367393	24.471268	24.7567	24.647072	24.872969	24.693909	24.915183	25.169584	25.096476	24.836022	24.745819
2	24.313679	24.367222	24.473842	24.762115	24.642517	24.878614	24.703197	24.927517	25.166464	25.105348	24.843694	24.753031
3	24.313679	24.367222	24.473842	24.762115	24.642517	24.878614	24.703197	24.927517	25.166464	25.105348	24.843694	24.753031
4	24.313386	24.36818	24.482317	24.774426	24.643475	24.877544	24.712691	24.931753	25.173004	25.103587	24.846497	24.754219
5	24.313386	24.36818	24.482317	24.774426	24.643475	24.877544	24.712691	24.931753	25.173004	25.103587	24.846497	24.754219
6	24.306909	24.379669	24.472149	24.769264	24.653346	24.88161	24.709411	24.921978	25.165769	25.104192	24.848984	24.790158
7	24.306909	24.379669	24.472149	24.769264	24.653346	24.88161	24.709411	24.921978	25.165769	25.104192	24.848984	24.790158
8	24.341381	24.366099	24.460233	24.767453	24.639549	25.294943	24.696768	24.921091	25.159347	25.089467	24.826654	25.012344
9	24.341381	24.366099	24.460233	24.767453	24.639549	25.294943	24.696768	24.921091	25.159347	25.089467	24.826654	25.012344
10	25.301395	24.378123	24.473032	24.758758	24.646493	25.61664	24.70002	24.922777	25.159418	25.09738	24.843978	24.746855
11	25.301395	24.378123	24.473032	24.758758	24.646493	25.61664	24.70002	24.922777	25.159418	25.09738	24.843978	24.746855
12	27.389886	24.480633	24.465415	24.763262	24.644694	24.681589	24.700759	24.913209	25.157924	25.088736	24.831107	24.740442
13	27.389886	24.480633	24.465415	24.763262	24.644694	24.681589	24.700759	24.913209	25.157924	25.088736	24.831107	24.740442
14	29.889495	24.777766	24.482963	24.77669	24.65641	25.353058	24.715936	24.930787	25.167657	25.106542	24.8389	24.761847
15	29.889495	24.777766	24.482963	24.77669	24.65641	25.353058	24.715936	24.930787	25.167657	25.106542	24.8389	24.761847
