Time	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
0	26.073263	26.42902	26.296194	26.621113	26.707705	26.87396	26.975036	27.014405	26.897404	26.964768	27.049126	26.71747
1	26.073263	26.42902	26.296194	26.621113	26.707705	26.87396	26.975036	27.014405	26.897404	26.964768	27.049126	26.71747
2	26.061421	26.434482	26.307045	26.606077	26.715929	26.878499	26.98533	27.00628	26.892479	26.962949	27.050187	26.717954
3	26.061421	26.434482	26.307045	26.606077	26.715929	26.878499	26.98533	27.00628	26.892479	26.962949	27.050187	26.717954
4	26.090387	26.431829	26.304982	26.608491	26.715579	26.872623	26.97485	27.017212	26.889648	26.965262	27.039299	26.718885
5	26.090387	26.431829	26.304982	26.608491	26.715579	26.872623	26.97485	27.017212	26.889648	26.965262	27.039299	26.718885
6	26.074614	26.424751	26.289226	26.615233	26.724853	26.864397	26.966855	27.005303	26.886091	26.962639	27.031599	26.717873
7	26.074614	26.424751	26.289226	26.615233	26.724853	26.864397	26.966855	27.005303	26.886091	26.962639	27.031599	26.717873
8	26.064579	26.426962	26.298808	26.629188	26.70818	26.867067	26.969525	27.013958	26.89172	26.972215	27.041832	26.729985
9	26.064579	26.426962	26.298808	26.629188	26.70818	26.867067	26.969525	27.013958	26.89172	26.972215	27.041832	26.729985
10	26.064934	26.423543	26.288873	26.602048	26.705453	26.862037	26.949761	26.990281	26.886318	26.9662	27.026071	26.715218
11	26.064934	26.423543	26.288873	26.602048	26.705453	26.862037	26.949761	26.990281	26.886318	26.9662	27.026071	26.715218
12	26.079269	26.390323	26.305665	26.607527	26.711852	26.861298	26.902974	27.003356	26.882683	26.959958	27.036479	26.717034
13	26.079269	26.390323	26.305665	26.607527	26.711852	26.861298	26.902974	27.003356	26.882683	26.959958	27.036479	26.717034
14	25.704813	25.847702	26.290441	26.607993	26.730971	26.864987	26.511028	27.012109	26.894242	26.95004	27.034914	26.708725
15	25.704813	25.847702	26.290441	26.607993	26.730971	26.864987	26.511028	27.012109	26.894242	26.95004	27.034914	26.708725
16	27.089125	26.433777	26.299537	26.602377	26.701636	26.863287	26.434928	27.002812	26.879617	26.948999	27.025356	26.704461
17	27.089125	26.433777	26.299537	26.602377	26.701636	26.863287	26.434928	27.002812	26.879617	26.948999	27.025356	26.704461
18	28.444076	26.537238	26.297023	26.613473	26.706283	26.86517	28.033528	26.988809	26.884817	26.947638	27.033317	26.700336
19	28.444076	26.537238	26.297023	26.613473	26.706283	26.86517	28.033528	26.988809	26.884817	26.947638	27.033317	26.700336
20	31.742645	26.858135	26.315463	26.611272	26.719512	26.868726	28.125397	27.010783	26.885629	26.964916	27.047021	26.717387
21	31.742645	26.858135	26.315463	26.611272	26.719512	26.868726	28.125397	27.010783	26.885629	26.964916	27.047021	26.717387
22	34.808846	27.410588	26.352135	26.604116	26.703145	26.858348	28.12354	26.993039	26.875378	26.953217	27.02342	26.704304
23	34.808846	27.410588	26.352135	26.604116	26.703145	26.858348	28.12354	26.993039	26.875378	26.953217	27.02342	26.704304
24	37.855642	28.206986	26.448547	26.608458	26.706104	26.856702	27.445304	26.994156	26.880805	26.946895	27.019637	26.698901
25	37.855642	28.206986	26.448547	26.608458	26.706104	26.856702	27.445304	26.994156	26.880805	26.946895	27.019637	26.698901
26	40.861494	29.197918	26.603818	26.619535	26.7082	26.854883	28.085581	27.005	26.877142	26.950839	27.017356	26.710677
27	40.861494	29.197918	26.603818	26.619535	26.7082	26.854883	28.085581	27.005	26.877142	26.950839	27.017356	26.710677
28	44.001924	30.322515	26.841761	26.628868	26.706708	26.862141	27.084084	26.992227	26.87319	26.946294	27.015016	26.698991
29	44.001924	30.322515	26.841761	26.628868	26.706708	26.862141	27.084084	26.992227	26.87319	26.946294	27.015016	26.698991
30	46.870588	31.558978	27.170411	26.676475	26.709406	26.860004	26.963383	26.997457	26.866803	26.947566	27.022443	26.700264
31	46.870588	31.558978	27.170411	26.676475	26.709406	26.860004	26.963383	26.997457	26.866803	26.947566	27.022443	26.700264
32	49.597165	32.878754	27.559874	26.726886	26.71399	26.852844	25.858134	26.983161	26.872564	26.934729	27.02498	26.706768
33	49.597165	32.878754	27.559874	26.726886	26.71399	26.852844	25.858134	26.983161	26.872564	26.934729	27.02498	26.706768
34	51.623602	34.227489	28.027272	26.821003	26.717149	26.852549	25.802293	26.989082	26.868514	26.944789	27.012873	26.689886
35	51.623602	34.227489	28.027272	26.821003	26.717149	26.852549	25.802293	26.989082	26.868514	26.944789	27.012873	26.689886
36	53.992038	35.643734	28.571734	26.936307	26.748416	26.874601	25.805238	27.002383	26.87842	26.947507	27.029454	26.703429
37	53.992038	35.643734	28.571734	26.936307	26.748416	26.874601	25.805238	27.002383	26.87842	26.947507	27.029454	26.703429
38	56.204406	37.045572	29.144468	27.07852	26.772299	26.857958	26.47889	26.995411	26.872039	26.936704	27.020542	26.693084
39	56.204406	37.045572	29.144468	27.07852	26.772299	26.857958	26.47889	26.995411	26.872039	26.936704	27.020542	26.693084
40	59.079218	38.623544	29.776174	27.259192	26.813492	26.86484	26.387186	26.994465	26.879259	26.944588	27.020624	26.698437
41	59.079218	38.623544	29.776174	27.259192	26.813492	26.86484	26.387186	26.994465	26.879259	26.944588	27.020624	26.698437
42	61.132807	39.865237	30.458999	27.467294	26.855909	26.873639	27.337726	26.983003	26.873187	26.940594	27.025142	26.695362
43	61.132807	39.865237	30.458999	27.467294	26.855909	26.873639	27.337726	26.983003	26.873187	26.940594	27.025142	26.695362
44	63.056512	41.267181	31.166613	27.713353	26.933128	26.881783	27.428948	26.993218	26.872157	26.937294	27.013522	26.701504
45	63.056512	41.267181	31.166613	27.713353	26.933128	26.881783	27.428948	26.993218	26.872157	26.937294	27.013522	26.701504
46	64.867902	42.651506	31.915184	27.982529	27.012355	26.897928	27.506527	27.003606	26.88154	26.94431	27.022444	26.686644
47	64.867902	42.651506	31.915184	27.982529	27.012355	26.897928	27.506527	27.003606	26.88154	26.94431	27.022444	26.686644
48	66.646787	43.997656	32.669574	28.280291	27.098393	26.920891	27.529477	26.982364	26.869046	26.933992	27.012945	26.691753
49	66.646787	43.997656	32.669574	28.280291	27.098393	26.920891	27.529477	26.982364	26.869046	26.933992	27.012945	26.691753
50	68.262766	45.31867	33.446023	28.614623	27.202941	26.940042	27.549997	26.991614	26.873053	26.947561	27.010274	26.691968
51	68.262766	45.31867	33.446023	28.614623	27.202941	26.940042	27.549997	26.991614	26.873053	26.947561	27.010274	26.691968
52	69.751166	46.569465	34.260022	28.963702	27.331101	26.97154	26.728389	27.008837	26.865829	26.94287	27.021239	26.694415
53	69.751166	46.569465	34.260022	28.963702	27.331101	26.97154	26.728389	27.008837	26.865829	26.94287	27.021239	26.694415
54	70.720492	48.04913	35.060874	29.33468	27.479916	27.010135	26.588975	26.993099	26.86416	26.932001	27.015887	26.69575
55	70.720492	48.04913	35.060874	29.33468	27.479916	27.010135	26.588975	26.993099	26.86416	26.932001	27.015887	26.69575
56	73.450883	49.372971	35.883547	29.733961	27.643397	27.054444	26.942325	26.991364	26.866506	26.929924	27.011786	26.695974
57	73.450883	49.372971	35.883547	29.733961	27.643397	27.054444	26.942325	26.991364	26.866506	26.929924	27.011786	26.695974
58	75.222619	50.669086	36.719256	30.153857	27.81639	27.104843	26.770537	26.995031	26.872099	26.937718	27.010702	26.69617
59	75.222619	50.669086	36.719256	30.153857	27.81639	27.104843	26.770537	26.995031	26.872099	26.937718	27.010702	26.69617
60	76.869358	51.956524	37.56987	30.593874	27.999803	27.169148	26.63682	27.002709	26.877094	26.935192	27.025596	26.695947
61	76.869358	51.956524	37.56987	30.593874	27.999803	27.169148	26.63682	27.002709	26.877094	26.935192	27.025596	26.695947
62	78.438849	53.203387	38.415942	31.053083	28.201923	27.227575	27.306753	27.005663	26.866967	26.923672	27.007643	26.695939
63	78.438849	53.203387	38.415942	31.053083	28.201923	27.227575	27.306753	27.005663	26.866967	26.923672	27.007643	26.695939
64	79.93599	54.444478	39.259923	31.509223	28.41745	27.296008	27.383465	27.003433	26.856582	26.924036	26.99795	26.686401
65	79.93599	54.444478	39.259923	31.509223	28.41745	27.296008	27.383465	27.003433	26.856582	26.924036	26.99795	26.686401
66	80.453704	55.686579	40.114582	31.999849	28.649337	27.393977	26.981487	27.006581	26.870888	26.920422	27.013635	26.688082
67	80.453704	55.686579	40.114582	31.999849	28.649337	27.393977	26.981487	27.006581	26.870888	26.920422	27.013635	26.688082
68	82.101502	56.893541	40.967973	32.49101	28.897795	27.489021	28.138219	27.015791	26.870714	26.933433	27.005634	26.68751
69	82.101502	56.893541	40.967973	32.49101	28.897795	27.489021	28.138219	27.015791	26.870714	26.933433	27.005634	26.68751
70	83.475484	58.081655	41.829574	33.010639	29.168561	27.597483	28.273978	27.023699	26.880967	26.937673	27.014273	26.690138
71	83.475484	58.081655	41.829574	33.010639	29.168561	27.597483	28.273978	27.023699	26.880967	26.937673	27.014273	26.690138
72	84.793692	59.236987	42.680119	33.519017	29.423625	27.690505	28.356824	27.021004	26.866667	26.935476	27.002968	26.683104
73	84.793692	59.236987	42.680119	33.519017	29.423625	27.690505	28.356824	27.021004	26.866667	26.935476	27.002968	26.683104
74	86.097509	60.396729	43.529476	34.054196	29.700731	27.813483	27.719619	27.044151	26.874024	26.923932	27.015159	26.686067
75	86.097509	60.396729	43.529476	34.054196	29.700731	27.813483	27.719619	27.044151	26.874024	26.923932	27.015159	26.686067
76	87.383382	61.520837	44.395098	34.590611	29.994655	27.949461	27.678693	27.047632	26.880243	26.925595	27.011247	26.690032
77	87.383382	61.520837	44.395098	34.590611	29.994655	27.949461	27.678693	27.047632	26.880243	26.925595	27.011247	26.690032
78	88.63197	62.62208	45.229553	35.121763	30.292201	28.060613	27.590859	27.064036	26.872804	26.926802	26.999205	26.673968
79	88.63197	62.62208	45.229553	35.121763	30.292201	28.060613	27.590859	27.064036	26.872804	26.926802	26.999205	26.673968
80	89.909665	63.711167	46.065776	35.686594	30.617341	28.222492	27.530316	27.084729	26.886479	26.943024	27.012648	26.676146
81	89.909665	63.711167	46.065776	35.686594	30.617341	28.222492	27.530316	27.084729	26.886479	26.943024	27.012648	26.676146
82	91.120369	64.778531	46.911139	36.238283	30.934287	28.365196	27.456356	27.100292	26.886597	26.918673	26.990665	26.672515
83	91.120369	64.778531	46.911139	36.238283	30.934287	28.365196	27.456356	27.100292	26.886597	26.918673	26.990665	26.672515
84	92.307754	65.826402	47.753808	36.807127	31.263617	28.548439	27.405503	27.117793	26.903498	26.941621	27.009175	26.682802
85	92.307754	65.826402	47.753808	36.807127	31.263617	28.548439	27.405503	27.117793	26.903498	26.941621	27.009175	26.682802
86	92.884065	66.841699	48.556529	37.35306	31.588445	28.686096	26.468855	27.133408	26.892432	26.926225	26.988902	26.664409
87	92.884065	66.841699	48.556529	37.35306	31.588445	28.686096	26.468855	27.133408	26.892432	26.926225	26.988902	26.664409
88	93.938102	67.853839	49.392846	37.940184	31.955553	28.868077	27.189752	27.156835	26.907017	26.930358	27.000032	26.679367
89	93.938102	67.853839	49.392846	37.940184	31.955553	28.868077	27.189752	27.156835	26.907017	26.930358	27.000032	26.679367
