	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
0	30.244336	30.140809	30.659394	31.085644	31.655109	32.078904	32.510877	32.730555	33.043005	33.169816	33.080776	31.468347
1	30.244336	30.140809	30.659394	31.085644	31.655109	32.078904	32.510877	32.730555	33.043005	33.169816	33.080776	31.468347
2	31.749751	30.164142	30.650197	31.081436	31.639733	32.066678	32.497574	32.718795	33.02742	33.166364	33.076407	31.446256
3	31.749751	30.164142	30.650197	31.081436	31.639733	32.066678	32.497574	32.718795	33.02742	33.166364	33.076407	31.446256
4	32.875009	30.285148	30.652946	31.065199	31.630102	32.055968	32.491157	32.710839	33.028561	33.14988	33.062669	31.436685
5	32.875009	30.285148	30.652946	31.065199	31.630102	32.055968	32.491157	32.710839	33.028561	33.14988	33.062669	31.436685
6	34.832965	30.534798	30.649118	31.059665	31.617337	32.049497	32.479548	32.705289	33.015813	32.808392	33.054728	31.440299
7	34.832965	30.534798	30.649118	31.059665	31.617337	32.049497	32.479548	32.705289	33.015813	32.808392	33.054728	31.440299
8	36.772216	30.889613	30.675837	31.062552	31.61813	32.048665	32.473469	32.692549	33.014316	32.791324	33.045677	31.4225
9	36.772216	30.889613	30.675837	31.062552	31.61813	32.048665	32.473469	32.692549	33.014316	32.791324	33.045677	31.4225
10	39.99021	31.366269	30.72837	31.060599	31.611478	32.04017	32.470487	32.700318	33.011335	33.130596	33.042239	31.425693
11	39.99021	31.366269	30.72837	31.060599	31.611478	32.04017	32.470487	32.700318	33.011335	33.130596	33.042239	31.425693
12	41.795236	31.933025	30.816738	31.063717	31.607169	32.033418	32.452211	32.692425	32.994213	33.114391	33.03931	31.422147
13	41.795236	31.933025	30.816738	31.063717	31.607169	32.033418	32.452211	32.692425	32.994213	33.114391	33.03931	31.422147
14	43.564092	32.586159	30.958884	31.070616	31.623604	32.040557	32.464052	32.701849	33.002156	33.133549	33.034204	31.429977
15	43.564092	32.586159	30.958884	31.070616	31.623604	32.040557	32.464052	32.701849	33.002156	33.133549	33.034204	31.429977
16	45.234998	33.269791	31.098476	31.08004	31.600371	32.027466	32.458244	32.669761	32.988339	33.116529	33.022906	31.417338
17	45.234998	33.269791	31.098476	31.08004	31.600371	32.027466	32.458244	32.669761	32.988339	33.116529	33.022906	31.417338
18	46.858927	34.015956	31.301278	31.10055	31.593124	32.015968	32.437032	32.667658	32.980644	33.098764	33.01338	31.410418
19	46.858927	34.015956	31.301278	31.10055	31.593124	32.015968	32.437032	32.667658	32.980644	33.098764	33.01338	31.410418
20	48.397066	34.783897	31.510358	31.117748	31.582568	31.999888	32.433126	32.661206	32.962775	33.095547	32.992994	31.396163
21	48.397066	34.783897	31.510358	31.117748	31.582568	31.999888	32.433126	32.661206	32.962775	33.095547	32.992994	31.396163
22	49.933803	35.589732	31.780908	31.168273	31.573245	31.993493	32.416022	32.645655	32.960103	33.093333	32.989177	31.385867
23	49.933803	35.589732	31.780908	31.168273	31.573245	31.993493	32.416022	32.645655	32.960103	33.093333	32.989177	31.385867
24	51.435635	36.422467	32.073228	31.225332	31.579352	31.987623	32.401511	32.63956	32.94743	33.086613	32.981541	31.379077
25	51.435635	36.422467	32.073228	31.225332	31.579352	31.987623	32.401511	32.63956	32.94743	33.086613	32.981541	31.379077
26	52.8791	37.264396	32.392491	31.305342	31.580641	31.986181	32.412418	32.62873	32.941162	33.081491	32.975273	31.3758
27	52.8791	37.264396	32.392491	31.305342	31.580641	31.986181	32.412418	32.62873	32.941162	33.081491	32.975273	31.3758
28	54.310601	38.125985	32.755423	31.403255	31.604424	31.993781	32.409843	32.636783	32.936986	33.079375	32.973844	31.377901
29	54.310601	38.125985	32.755423	31.403255	31.604424	31.993781	32.409843	32.636783	32.936986	33.079375	32.973844	31.377901
30	55.67201	38.970467	33.123373	31.494231	31.602869	31.984777	32.390652	32.62412	32.932685	33.073473	32.969086	31.375082
31	55.67201	38.970467	33.123373	31.494231	31.602869	31.984777	32.390652	32.62412	32.932685	33.073473	32.969086	31.375082
32	57.013767	39.828091	33.508778	31.605955	31.618012	31.970952	32.383336	32.610991	32.923541	33.050137	32.951014	31.361479
33	57.013767	39.828091	33.508778	31.605955	31.618012	31.970952	32.383336	32.610991	32.923541	33.050137	32.951014	31.361479
34	57.271275	40.660348	33.915933	31.734683	31.621853	31.959443	32.372743	32.60132	32.910665	32.58712	32.938824	31.336664
35	57.271275	40.660348	33.915933	31.734683	31.621853	31.959443	32.372743	32.60132	32.910665	32.58712	32.938824	31.336664
36	58.505612	41.529375	34.355629	31.887801	31.656869	31.971154	32.381852	32.604551	32.907177	32.59554	32.949531	31.357325
37	58.505612	41.529375	34.355629	31.887801	31.656869	31.971154	32.381852	32.604551	32.907177	32.59554	32.949531	31.357325
38	60.84537	42.362828	34.793746	32.034964	31.69094	31.966969	32.363675	32.591666	32.90618	32.596375	32.936629	31.343966
39	60.84537	42.362828	34.793746	32.034964	31.69094	31.966969	32.363675	32.591666	32.90618	32.596375	32.936629	31.343966
40	62.10042	43.20242	35.238666	32.207677	31.726972	31.965554	32.358224	32.577656	32.889056	32.591154	32.930724	31.337964
41	62.10042	43.20242	35.238666	32.207677	31.726972	31.965554	32.358224	32.577656	32.889056	32.591154	32.930724	31.337964
42	63.351572	44.037318	35.71632	32.395673	31.771977	31.97448	32.350061	32.581081	32.881813	32.599711	32.920275	31.339559
43	63.351572	44.037318	35.71632	32.395673	31.771977	31.97448	32.350061	32.581081	32.881813	32.599711	32.920275	31.339559
44	64.536545	44.867536	36.169797	32.59619	31.815834	31.970788	32.344189	32.565712	32.869761	32.596588	32.910056	31.323254
45	64.536545	44.867536	36.169797	32.59619	31.815834	31.970788	32.344189	32.565712	32.869761	32.596588	32.910056	31.323254
46	66.004462	45.68432	36.66019	32.797141	31.878854	31.991361	32.347165	32.550317	32.874797	32.597273	32.901583	31.323892
47	66.004462	45.68432	36.66019	32.797141	31.878854	31.991361	32.347165	32.550317	32.874797	32.597273	32.901583	31.323892
48	67.111961	46.521957	37.146545	33.038902	31.93941	32.011464	32.357759	32.561707	32.873022	32.594582	32.912172	31.327499
49	67.111961	46.521957	37.146545	33.038902	31.93941	32.011464	32.357759	32.561707	32.873022	32.594582	32.912172	31.327499
50	68.184112	47.328539	37.637462	33.241243	32.000639	32.011247	32.336274	32.55004	32.857043	32.559132	32.88383	31.310774
51	68.184112	47.328539	37.637462	33.241243	32.000639	32.011247	32.336274	32.55004	32.857043	32.559132	32.88383	31.310774
52	69.229716	48.133275	38.124764	33.49502	32.069675	32.015244	32.335654	32.537086	32.844976	32.542023	32.866955	31.294595
53	69.229716	48.133275	38.124764	33.49502	32.069675	32.015244	32.335654	32.537086	32.844976	32.542023	32.866955	31.294595
54	70.273348	48.953668	38.658403	33.749512	32.161023	32.051312	32.347726	32.553441	32.849257	32.540351	32.886576	31.311657
55	70.273348	48.953668	38.658403	33.749512	32.161023	32.051312	32.347726	32.553441	32.849257	32.540351	32.886576	31.311657
56	71.260857	49.73203	39.159463	34.007119	32.241593	32.062146	32.346051	32.525566	32.833846	32.496307	32.872997	31.291774
57	71.260857	49.73203	39.159463	34.007119	32.241593	32.062146	32.346051	32.525566	32.833846	32.496307	32.872997	31.291774
58	72.203705	50.511032	39.669871	34.262531	32.323773	32.083034	32.33202	32.525833	32.824629	32.474032	32.86813	31.276908
59	72.203705	50.511032	39.669871	34.262531	32.323773	32.083034	32.33202	32.525833	32.824629	32.474032	32.86813	31.276908
60	72.214935	51.282127	40.174085	34.535192	32.425594	32.115153	32.337178	32.51534	32.816734	32.458347	32.852223	31.282912
61	72.214935	51.282127	40.174085	34.535192	32.425594	32.115153	32.337178	32.51534	32.816734	32.458347	32.852223	31.282912
62	73.008811	52.036736	40.691948	34.821623	32.533133	32.13869	32.346004	32.513904	32.808613	32.443123	32.845934	31.267947
63	73.008811	52.036736	40.691948	34.821623	32.533133	32.13869	32.346004	32.513904	32.808613	32.443123	32.845934	31.267947
64	74.867787	52.805016	41.219361	35.105755	32.639298	32.183156	32.355299	32.50774	32.812866	32.443942	32.846523	31.275762
65	74.867787	52.805016	41.219361	35.105755	32.639298	32.183156	32.355299	32.50774	32.812866	32.443942	32.846523	31.275762
66	75.71938	53.538653	41.750698	35.406429	32.7627	32.23104	32.363294	32.511637	32.80048	32.438881	32.84238	31.267511
67	75.71938	53.538653	41.750698	35.406429	32.7627	32.23104	32.363294	32.511637	32.80048	32.438881	32.84238	31.267511
68	76.548966	54.266867	42.268859	35.706406	32.893416	32.261654	32.375414	32.508347	32.79817	32.424889	32.838468	31.261695
69	76.548966	54.266867	42.268859	35.706406	32.893416	32.261654	32.375414	32.508347	32.79817	32.424889	32.838468	31.261695
70	77.374957	54.984773	42.793965	36.005508	33.015096	32.303453	32.378966	32.508683	32.802866	32.43348	32.835379	31.25928
71	77.374957	54.984773	42.793965	36.005508	33.015096	32.303453	32.378966	32.508683	32.802866	32.43348	32.835379	31.25928
72	78.15752	55.686031	43.293227	36.315539	33.140897	32.352758	32.386428	32.489957	32.770942	32.411853	32.815362	31.244659
73	78.15752	55.686031	43.293227	36.315539	33.140897	32.352758	32.386428	32.489957	32.770942	32.411853	32.815362	31.244659
74	78.957234	56.394719	43.818266	36.628952	33.284211	32.403995	32.397001	32.496299	32.781969	32.4238	32.818146	31.233123
75	78.957234	56.394719	43.818266	36.628952	33.284211	32.403995	32.397001	32.496299	32.781969	32.4238	32.818146	31.233123
76	78.798341	57.090699	44.334981	36.960433	33.44999	32.467892	32.417483	32.510263	32.782523	32.411069	32.814121	31.243664
77	78.798341	57.090699	44.334981	36.960433	33.44999	32.467892	32.417483	32.510263	32.782523	32.411069	32.814121	31.243664
78	80.51129	57.762709	44.843408	37.271379	33.585395	32.519162	32.438733	32.510688	32.768734	32.418577	32.79186	31.236293
79	80.51129	57.762709	44.843408	37.271379	33.585395	32.519162	32.438733	32.510688	32.768734	32.418577	32.79186	31.236293
80	81.236483	58.425322	45.35581	37.592751	33.737815	32.582798	32.447947	32.495999	32.742225	32.412903	32.783669	31.222045
81	81.236483	58.425322	45.35581	37.592751	33.737815	32.582798	32.447947	32.495999	32.742225	32.412903	32.783669	31.222045
82	81.932162	59.099392	45.872234	37.920165	33.902033	32.653489	32.476554	32.502569	32.762582	32.4225	32.779068	31.227018
