Time	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
0	24.511917	24.946173	24.84877	25.304336	25.208104	25.572247	25.538301	25.865444	25.662093	25.752205	25.877601	25.759192
1	24.511917	24.946173	24.84877	25.304336	25.208104	25.572247	25.538301	25.865444	25.662093	25.752205	25.877601	25.759192
2	24.5132		24.944844	24.860433	25.302086	25.200506	25.569536	25.531975	25.86112	25.656459	25.742075	25.875655	25.761322
3	24.5132		24.944844	24.860433	25.302086	25.200506	25.569536	25.531975	25.86112	25.656459	25.742075	25.875655	25.761322
4	24.499587	24.930031	24.833215	25.294656	25.177629	25.561647	25.523447	25.852542	25.650468	25.731657	25.862291	25.74191
5	24.499587	24.930031	24.833215	25.294656	25.177629	25.561647	25.523447	25.852542	25.650468	25.731657	25.862291	25.74191
6	24.513344	24.947781	24.847428	25.290034	25.191367	25.573855	25.531197	25.857602	25.658447	25.738242	25.868424	25.753885
7	24.513344	24.947781	24.847428	25.290034	25.191367	25.573855	25.531197	25.857602	25.658447	25.738242	25.868424	25.753885
8	24.47027	24.946952	24.842662	25.315492	25.198161	25.564035	25.603201	25.854238	25.664058	25.740653	25.865046	25.745911
9	24.47027	24.946952	24.842662	25.315492	25.198161	25.564035	25.603201	25.854238	25.664058	25.740653	25.865046	25.745911
10	25.102093	24.9397		24.84883	25.495463	25.188183	25.567622	26.195196	25.858054	25.653163	25.738517	25.858762	25.74627
11	25.102093	24.9397		24.84883	25.495463	25.188183	25.567622	26.195196	25.858054	25.653163	25.738517	25.858762	25.74627
12	27.262635	24.957721	24.854212	24.812394	25.197886	25.574338	26.247571	25.850478	25.663612	25.742223	25.871744	25.749296
13	27.262635	24.957721	24.854212	24.812394	25.197886	25.574338	26.247571	25.850478	25.663612	25.742223	25.871744	25.749296
14	30.879532	25.088836	24.848449	25.807716	25.18432	25.569141	26.494292	25.851045	25.643792	25.728433	25.859764	25.745945
15	30.879532	25.088836	24.848449	25.807716	25.18432	25.569141	26.494292	25.851045	25.643792	25.728433	25.859764	25.745945
16	34.861457	25.45153	24.859985	24.909815	25.178073	25.554123	26.242509	25.85493	25.648635	25.73671	25.855618	25.738996
17	34.861457	25.45153	24.859985	24.909815	25.178073	25.554123	26.242509	25.85493	25.648635	25.73671	25.855618	25.738996
18	37.940165	26.116652	24.900642	24.810791	25.184073	25.55775	26.219758	25.842884	25.647079	25.718275	25.854523	25.733173
19	37.940165	26.116652	24.900642	24.810791	25.184073	25.55775	26.219758	25.842884	25.647079	25.718275	25.854523	25.733173
20	41.583914	27.013071	24.996256	24.859946	25.178325	25.561458	26.205131	25.841981	25.649042	25.724285	25.857177	25.74149
21	41.583914	27.013071	24.996256	24.859946	25.178325	25.561458	26.205131	25.841981	25.649042	25.724285	25.857177	25.74149
22	46.414617	28.100306	25.154311	25.760382	25.178368	25.548079	26.167644	25.834137	25.636892	25.713725	25.8501		25.732031
23	46.414617	28.100306	25.154311	25.760382	25.178368	25.548079	26.167644	25.834137	25.636892	25.713725	25.8501		25.732031
24	49.575111	29.300428	25.402847	25.487258	25.181117	25.553193	24.946227	25.83464	25.640306	25.72477	25.836689	25.72585
25	49.575111	29.300428	25.402847	25.487258	25.181117	25.553193	24.946227	25.83464	25.640306	25.72477	25.836689	25.72585
26	51.19419	30.62531	25.724139	24.763056	25.175984	25.555695	24.927702	25.821008	25.628939	25.720562	25.840996	25.720515
27	51.19419	30.62531	25.724139	24.763056	25.175984	25.555695	24.927702	25.821008	25.628939	25.720562	25.840996	25.720515
28	54.501495	32.008058	26.127148	24.898617	25.197334	25.567829	24.911496	25.842589	25.632107	25.720926	25.849004	25.738871
29	54.501495	32.008058	26.127148	24.898617	25.197334	25.567829	24.911496	25.842589	25.632107	25.720926	25.849004	25.738871
30	57.149148	33.430164	26.55876	24.745095	25.183324	25.545355	24.907249	25.828648	25.623253	25.71453	25.843839	25.735993
31	57.149148	33.430164	26.55876	24.745095	25.183324	25.545355	24.907249	25.828648	25.623253	25.71453	25.843839	25.735993
32	59.647587	34.881226	27.098792	25.129968	25.205815	25.554697	26.092328	25.82946	25.628392	25.721796	25.853817	25.740032
33	59.647587	34.881226	27.098792	25.129968	25.205815	25.554697	26.092328	25.82946	25.628392	25.721796	25.853817	25.740032
34	61.518965	36.339702	27.670101	25.480135	25.22196	25.552064	26.109246	25.829363	25.621113	25.721337	25.839625	25.739935
35	61.518965	36.339702	27.670101	25.480135	25.22196	25.552064	26.109246	25.829363	25.621113	25.721337	25.839625	25.739935
36	64.227699	37.807648	28.281264	25.4713		25.244741	25.555448	26.154655	25.834821	25.619978	25.71276	25.841947	25.735942
37	64.227699	37.807648	28.281264	25.4713		25.244741	25.555448	26.154655	25.834821	25.619978	25.71276	25.841947	25.735942
38	66.329557	39.282393	28.950259	25.719825	25.289881	25.560307	26.179598	25.830689	25.632486	25.712243	25.850765	25.73135
39	66.329557	39.282393	28.950259	25.719825	25.289881	25.560307	26.179598	25.830689	25.632486	25.712243	25.850765	25.73135
40	68.341043	40.711122	29.633092	25.985575	25.32943	25.54995	26.178068	25.812729	25.620812	25.698992	25.835406	25.723991
41	68.341043	40.711122	29.633092	25.985575	25.32943	25.54995	26.178068	25.812729	25.620812	25.698992	25.835406	25.723991
42	70.254989	42.14947	30.369086	26.32063	25.411636	25.578578	26.211227	25.830979	25.629553	25.714557	25.85129	25.741781
43	70.254989	42.14947	30.369086	26.32063	25.411636	25.578578	26.211227	25.830979	25.629553	25.714557	25.85129	25.741781
44	71.279769	43.554134	31.122429	26.534231	25.469896	25.587406	26.211643	25.825055	25.623976	25.705726	25.844562	25.745076
45	71.279769	43.554134	31.122429	26.534231	25.469896	25.587406	26.211643	25.825055	25.623976	25.705726	25.844562	25.745076
46	74.397086	44.938091	31.88421	26.880575	25.563408	25.600999	26.215093	25.822742	25.621896	25.701949	25.833954	25.734235
47	74.397086	44.938091	31.88421	26.880575	25.563408	25.600999	26.215093	25.822742	25.621896	25.701949	25.833954	25.734235
48	76.068042	46.289677	32.668114	28.080787	25.651282	25.611734	26.214627	25.823334	25.607597	25.698767	25.825421	25.728142
49	76.068042	46.289677	32.668114	28.080787	25.651282	25.611734	26.214627	25.823334	25.607597	25.698767	25.825421	25.728142
50	77.719696	47.632055	33.475122	28.489395	25.77709	25.652991	26.213815	25.825863	25.624305	25.713704	25.837055	25.740583
51	77.719696	47.632055	33.475122	28.489395	25.77709	25.652991	26.213815	25.825863	25.624305	25.713704	25.837055	25.740583
52	77.914291	48.925118	34.283842	28.037415	25.911088	25.680295	26.21903	25.823201	25.615231	25.697892	25.839275	25.736999
53	77.914291	48.925118	34.283842	28.037415	25.911088	25.680295	26.21903	25.823201	25.615231	25.697892	25.839275	25.736999
54	80.191578	50.219068	35.108493	28.509403	26.044186	25.715696	26.20176	25.821952	25.623539	25.703556	25.833292	25.746122
55	80.191578	50.219068	35.108493	28.509403	26.044186	25.715696	26.20176	25.821952	25.623539	25.703556	25.833292	25.746122
56	81.680548	51.488995	35.932512	28.882926	26.205941	25.76664	26.168358	25.844312	25.61686	25.702408	25.844822	25.728839
57	81.680548	51.488995	35.932512	28.882926	26.205941	25.76664	26.168358	25.844312	25.61686	25.702408	25.844822	25.728839
58	83.163081	52.735336	36.753107	29.317628	26.372073	25.813868	26.101485	25.811102	25.604357	25.696675	25.832092	25.727204
59	83.163081	52.735336	36.753107	29.317628	26.372073	25.813868	26.101485	25.811102	25.604357	25.696675	25.832092	25.727204
60	84.276945	53.949074	37.572894	30.103512	26.558921	25.863027	26.041323	25.818546	25.615863	25.694874	25.824696	25.728886
61	84.276945	53.949074	37.572894	30.103512	26.558921	25.863027	26.041323	25.818546	25.615863	25.694874	25.824696	25.728886
62	85.723873	55.169846	38.413374	31.304608	26.767586	25.938699	25.957771	25.836834	25.614808	25.708258	25.833551	25.722512
63	85.723873	55.169846	38.413374	31.304608	26.767586	25.938699	25.957771	25.836834	25.614808	25.708258	25.833551	25.722512
64	87.014956	56.349758	39.238061	31.255135	26.961274	25.999822	25.894351	25.824674	25.606465	25.692167	25.818296	25.722798
65	87.014956	56.349758	39.238061	31.255135	26.961274	25.999822	25.894351	25.824674	25.606465	25.692167	25.818296	25.722798
66	88.263253	57.512522	40.065141	31.828946	27.183302	26.073358	25.823591	25.820783	25.614758	25.683053	25.812067	25.710378
67	88.263253	57.512522	40.065141	31.828946	27.183302	26.073358	25.823591	25.820783	25.614758	25.683053	25.812067	25.710378
68	89.536949	58.657291	40.908952	32.426677	27.426918	26.183244	25.773623	25.838739	25.612039	25.699297	25.824099	25.728106
69	89.536949	58.657291	40.908952	32.426677	27.426918	26.183244	25.773623	25.838739	25.612039	25.699297	25.824099	25.728106
70	90.732826	59.767084	41.732594	33.021973	27.67444	26.261288	25.701499	25.846516	25.62082	25.698303	25.825503	25.729199
71	90.732826	59.767084	41.732594	33.021973	27.67444	26.261288	25.701499	25.846516	25.62082	25.698303	25.825503	25.729199
72	91.883803	60.862271	42.554032	33.602114	27.934069	26.367942	25.641546	25.858493	25.609504	25.697051	25.818568	25.720663
73	91.883803	60.862271	42.554032	33.602114	27.934069	26.367942	25.641546	25.858493	25.609504	25.697051	25.818568	25.720663
74	93.867565	61.931739	43.366295	34.437431	28.199486	26.476758	25.533642	25.857431	25.623318	25.69913	25.811868	25.726286
75	93.867565	61.931739	43.366295	34.437431	28.199486	26.476758	25.533642	25.857431	25.623318	25.69913	25.811868	25.726286
76	94.072086	62.976185	44.17497	34.836208	28.470267	26.590226	25.457211	25.866798	25.625504	25.687521	25.813361	25.717675
77	94.072086	62.976185	44.17497	34.836208	28.470267	26.590226	25.457211	25.866798	25.625504	25.687521	25.813361	25.717675
78	95.83339	64.005956	44.987964	35.455297	28.749303	26.712467	25.105985	25.890257	25.612332	25.682186	25.811025	25.716704
79	95.83339	64.005956	44.987964	35.455297	28.749303	26.712467	25.105985	25.890257	25.612332	25.682186	25.811025	25.716704
80	95.289071	65.006039	45.790138	35.106644	29.02977	26.845964	25.183096	25.886048	25.613568	25.686428	25.80719	25.714108
81	95.289071	65.006039	45.790138	35.106644	29.02977	26.845964	25.183096	25.886048	25.613568	25.686428	25.80719	25.714108
82	97.563838	65.987852	46.578068	36.434489	29.336518	26.977298	25.31675	25.906193	25.623847	25.686228	25.805943	25.710515
83	97.563838	65.987852	46.578068	36.434489	29.336518	26.977298	25.31675	25.906193	25.623847	25.686228	25.805943	25.710515
